CD1C,CD141,CD1C-CD141-
92.04418121,26.01248599,16.00768369
538.5061958,154.1448962,106.0997337
513.7503778,431.1473758,606.4269165
420.1260378,348.1044313,10.0030009
204.3924335,226.4347547,28.05386342
76.85548242,177.9811172,202.2512695
112.5434827,1211.377123,94.12727645
3167.104561,529.1870912,461.0342083
640.2048656,220.0704225,200.0640205
1673.272608,1064.081144,302.591813
1465.846967,778.9815167,138.1740994
1613.032501,412.7760189,156.2938324
505.2029869,497.1519433,12.07656542
3676.531314,116.5239433,66.29810566
856.8210464,440.4784253,233.3127732
4857.566298,451.0740475,348.8305967
418.3879207,189.8052518,232.6645023
877.1929825,295.1303492,204.9516314
865.8095621,259.140217,216.9546002
536.5795059,304.328675,86.09298042
4361.44788,1100.870277,588.4652028
1193.251424,271.1935054,331.4587288
3476.716668,521.0065324,240.4645534
